110,259,133
20,21,111
97,120,96
65,116,93
136,138,106
99,122,98
86,58,76
27,132,26
31,32,106
127,51,103
35,48,52
218,239,166
125,49,101
35,36,48
73,60,65
126,50,102
44,45,108
84,92,56
33,34,73
95,118,94
84,56,72
34,35,52
50,23,24
23,54,22
102,24,25
109,43,44
77,62,69
22,77,21
87,59,78
49,0,101
102,50,24
1,101,0
19,20,112
120,97,69
186,144,187
103,12,13
58,86,96
87,98,59
49,61,53
34,52,73
162,112,160
48,60,52
113,260,135
23,50,54
36,37,100
8,9,114
39,128,38
93,116,92
74,85,57
129,104,257
118,95,67
59,122,63
256,78,63
150,109,148
124,48,100
71,79,63
61,67,75
255,76,62
57,118,61
46,47,53
49,47,0
56,116,60
253,72,60
49,53,47
254,74,61
46,75,45
58,120,62
57,85,94
55,10,11
51,55,11
60,72,56
10,55,79
12,103,51
12,51,11
22,54,77
50,62,54
51,63,55
134,14,15
131,107,258
115,172,174
63,78,59
162,267,18
10,79,9
99,71,122
150,264,42
74,57,61
58,62,76
115,7,8
130,2,3
138,261,30
174,270,6
36,100,48
32,33,105
46,53,75
253,60,48
197,84,72
60,73,52
73,65,105
254,61,49
214,85,74
61,75,53
75,67,108
255,62,50
188,86,76
62,77,54
77,69,111
256,63,51
206,87,78
63,79,55
79,71,114
124,157,194
255,68,76
181,211,125
253,64,72
185,126,145
256,70,78
127,169,203
254,66,74
197,72,64
184,92,84
214,74,66
193,94,85
188,76,68
202,96,86
206,78,70
210,98,87
141,142,263
138,31,106
153,154,266
150,43,109
165,166,269
162,19,112
177,178,272
174,7,115
184,84,80
92,88,93
137,136,93
106,32,105
193,85,81
94,89,95
149,148,95
109,44,108
202,86,82
96,90,97
161,160,97
112,20,111
210,87,83
98,91,99
173,172,99
115,8,114
38,224,37
257,40,129
2,231,1
258,4,131
26,219,25
259,28,133
14,229,13
260,16,135
129,40,41
119,149,152
73,105,33
106,65,93
65,106,105
106,93,136
131,4,5
123,173,176
